player_name,team_name,position,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,id,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalShots,totalAppearances,touches,wasFouled,yellowCards,yellowRedCards
Emiliano Martínez,Aston Villa,G,66,0,0,45,163,35.98233996,123,708,831,73.67021277,14,93.33333333,1,30,0,0,0,256,1,0,0,7,26,1,0,0,0,1,3,2,0.09851493,,0,0,0,101,0,0,4.1193,12,100,0,41,0,2163591,297,0,1,0,30,2655,0,0,0,0,0,0,0,1,0,1,0,305,0,9,6.973333333,0,0,20,52,35,88,1,19,0,0,0,0,0,0,0,0,0,19,0,0,0,1,137,0,0,26,96.2962963,453,358,770,1128,0,3,1437,17,2,0
John McGinn,Aston Villa,M,38,20,27.02702703,217,38,60.31746032,371,201,572,82.77858177,11,35.48387097,20,27,3,0,0,81,6,3,5,2,14,0,0,46,14,127,0,1,3.36384216,2.6781,29,0,18.18181818,0,4,7,,90,45.68527919,0,0,0,2135749,119,12,37,4,26,1979,0,5,0,0,0,0,0,0,0,0,0,279,19,0,6.9,0,0,0,0,0,0,0,0,494.75,0,0,10,12,8,9,17,48.57142857,0,27,15,55.55555556,37,79,35,74,101,44.29824561,63,461,230,691,22,1,1077,46,4,0
Pau Torres,Aston Villa,D,40,0,0,143,51,42.5,382,609,991,88.87892377,25,53.19148936,22,19,0,0,0,79,0,0,1,4,56,0,0,4,9,46,2,2,0.37056408,0.5686,7,0,0,61,0,0,,33,57.89473684,0,0,0,2163603,124,11,1,0,17,1569,0,17,1,0,0,0,0,0,0,0,0,149,3,0,6.889473684,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,7,63.63636364,0,21,13,61.9047619,1,89,11,4,58,55.76923077,120,475,640,1115,7,0,1285,5,1,0
Matty Cash,Aston Villa,D,41,24,20.51282051,310,53,42.4,582,531,1113,85.54957725,31,55.35714286,25,32,3,0,0,83,4,0,7,8,81,0,0,15,31,118,1,2,2.82422866,1.1709,39,0,10.34482759,0,3,6,,102,52.30769231,0,0,1,2135773,188,21,28,1,32,2805,4,12,0,1,0,0,0,0,0,0,0,406,3,0,6.884375,0,2,0,0,0,0,0,0,935,0,0,9,20,12,10,11,57.89473684,0,64,31,48.4375,27,103,19,117,133,52.98804781,125,710,591,1301,29,3,2028,29,8,0
Ross Barkley,Aston Villa,M,10,0,0,106,11,68.75,168,114,282,87.30650155,13,54.16666667,11,18,0,0,0,37,3,1,3,0,9,0,0,14,6,42,0,0,1.20959874,0.74,6,0,15.38461538,0,2,2,,27,46.55172414,1,0,0,2342486,41,2,8,1,5,654,0,3,0,0,0,0,0,0,0,0,0,75,2,0,6.877777778,0,0,0,0,0,0,0,0,327,0,0,6,7,4,6,10,66.66666667,0,10,8,80,8,13,15,0,40,48.7804878,16,195,128,323,13,1,433,7,1,0
Morgan Rogers,Aston Villa,M,34,3,6.382978723,354,36,63.15789474,502,248,750,75.1503006,26,30.95238095,58,35,5,0,0,130,11,4,25,7,30,0,0,78,22,273,0,2,4.01022959,6.5917,44,1,11.11111111,0,9,14,,125,36.76470588,0,0,3,2135763,248,13,42,2,35,3105,3,3,0,0,0,1,0,0,0,0,0,583,22,0,6.837142857,0,7,0,0,0,0,0,0,345,25,4,47,34,25,31,41,35.65217391,0,38,21,55.26315789,42,61,115,47,151,35.61320755,57,694,304,998,81,4,1702,47,7,0
Emiliano Buendía,Aston Villa,M,18,0,0,202,22,59.45945946,299,188,487,81.03161398,20,36.36363636,35,33,2,0,0,99,3,2,13,0,18,0,0,31,19,138,0,1,2.01496258,3.2561,37,1,13.33333333,0,6,8,,86,45.5026455,1,0,1,2163566,114,10,25,1,19,1593,1,4,0,0,0,0,0,0,0,0,0,205,13,0,6.83030303,0,4,0,0,0,0,0,0,265.5,20,5,16,29,21,11,9,32.14285714,0,40,21,52.5,25,30,28,9,106,43.44262295,37,386,215,601,45,3,947,37,6,0
Douglas Luiz,Aston Villa,M,24,11,26.19047619,133,26,56.52173913,277,259,536,89.63210702,9,50,9,18,0,0,0,49,3,2,3,0,9,0,0,3,6,37,0,1,1.40925725,0.4908,13,0,10,0,1,1,,40,58.82352941,0,0,0,2290695,62,13,19,0,11,852,0,2,0,0,0,1,0,0,0,0,0,124,3,0,6.827777778,0,1,0,0,0,0,0,0,852,0,0,4,6,3,4,6,46.15384615,0,21,11,52.38095238,19,44,13,42,49,56.97674419,46,327,271,598,10,0,781,14,3,0
Ollie Watkins,Aston Villa,F,3,2,33.33333333,145,3,50,222,87,309,72.02797203,33,37.93103448,54,34,2,0,0,47,4,17,21,3,14,0,0,42,4,159,0,0,1.2503581,12.2375,33,0,15.49295775,0,11,13,,74,41.34078212,4,0,2,2135787,120,6,22,2,30,2582,20,1,0,0,0,0,0,0,0,0,0,262,15,0,6.755882353,0,5,0,0,0,0,0,0,234.7272727,0,0,60,11,20,30,22,43.1372549,0,21,13,61.9047619,22,8,51,6,107,40.22556391,6,315,114,429,71,3,808,31,3,0
Lucas Digne,Aston Villa,D,25,31,30.69306931,172,11,20.75471698,308,255,563,81.00719424,32,55.17241379,26,29,5,0,0,60,3,0,5,5,56,0,0,10,12,67,2,1,3.08507233,0.6811,12,0,0,0,0,5,,50,54.94505495,0,0,1,2135777,132,14,24,0,20,1760,3,4,0,0,0,0,0,0,0,0,0,275,1,0,6.744827586,0,0,0,0,0,0,0,0,0,0,4,5,8,3,5,4,36.36363636,0,34,26,76.47058824,24,51,11,101,82,55.03355705,53,386,309,695,13,0,1158,12,3,0
Victor Lindelöf,Aston Villa,D,11,0,0,37,12,52.17391304,120,377,497,94.48669202,11,68.75,5,14,1,0,0,16,1,1,0,1,30,0,0,1,2,9,0,0,0.09292312,0.2792,1,0,0,36,0,1,,6,60,0,0,0,2260924,29,5,2,0,8,793,0,5,0,0,0,0,0,0,0,0,0,32,0,0,6.7,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,6,3,50,2,18,0,0,17,65.38461538,23,134,392,526,3,0,593,0,0,0
Jadon Sancho,Aston Villa,M,6,3,13.04347826,166,2,66.66666667,234,78,312,83.6461126,3,33.33333333,6,22,2,0,0,26,3,1,6,0,9,0,0,9,7,38,1,1,1.91922828,0.5778,3,0,0,0,0,2,,24,42.85714286,0,0,0,2293998,61,2,21,0,9,882,3,0,0,0,0,0,0,0,0,0,0,127,3,0,6.672727273,0,0,0,0,0,0,0,0,0,0,0,8,2,1,3,15,53.57142857,0,7,3,42.85714286,21,10,28,23,27,41.53846154,3,282,91,373,10,0,521,2,0,0
Tyrone Mings,Aston Villa,D,16,0,0,76,32,42.10526316,249,450,699,89.5006402,37,58.73015873,26,15,0,0,0,39,1,2,4,3,69,0,0,2,1,37,0,0,0.40661855,1.3749,8,0,0,38,0,0,,12,52.17391304,0,0,0,2135781,82,9,5,0,13,1143,0,7,0,0,0,0,0,0,0,0,0,94,0,0,6.66,0,0,0,0,0,0,0,0,0,0,0,9,0,4,1,2,50,0,4,2,50,5,41,4,3,49,56.97674419,76,301,480,781,9,0,928,8,0,0
